Date,Time,0
2019-05-06 00:00:00,07:30:00,2
2021-05-19 00:00:00,05:30:00,2
2018-04-17 00:00:00,07:15:00,2
2018-05-10 00:00:00,05:15:00,2
2021-05-14 00:00:00,07:00:00,2
2021-05-14 00:00:00,07:30:00,2
2019-09-24 00:00:00,07:30:00,2
2018-10-23 00:00:00,07:00:00,2
2018-10-17 00:00:00,10:30:00,2
2021-05-02 00:00:00,6:55am,2
2021-04-23 00:00:00,06:45:00,2
2021-04-23 00:00:00,07:00:00,2
2021-04-23 00:00:00,08:00:00,2
2021-05-02 00:00:00,08:30:00,2
2021-05-02 00:00:00,08:00:00,2
2021-05-02 00:00:00,07:30:00,2
2020-10-05 00:00:00,08:30:00,2
2018-05-03 00:00:00,05:50:00,2
2018-05-22 00:00:00,05:50:00,2
2019-04-16 00:00:00,06:00:00,2
2019-10-15 00:00:00,07:25:00,2
2020-10-02 00:00:00,06:30:00,2
2018-05-22 00:00:00,06:20:00,2
2019-10-16 00:00:00,07:30:00,2
2019-09-24 00:00:00,08:15:00,2
2020-10-02 00:00:00,06:55:00,2
2020-10-04 00:00:00,07:20:00,2
2018-05-22 00:00:00,06:45:00,2
2018-05-22 00:00:00,07:00:00,2
2021-04-27 00:00:00,7:10am,2
2018-05-22 00:00:00,08:00:00,2
2021-05-03 00:00:00,07:45:00,2
2018-10-23 00:00:00,06:55:00,2
2018-05-02 00:00:00,07:32:00,2
2018-10-22 00:00:00,09:18:00,2
2018-05-01 00:00:00,07:15:00,2
2019-05-03 00:00:00,06:45:00,2
2021-04-27 00:00:00,07:15:00,2
2021-05-14 00:00:00,06:15:00,2
2020-09-25 00:00:00,06:15:00,2
2019-05-03 00:00:00,05:40:00,2
2019-04-16 00:00:00,07:00:00,2
2019-04-16 00:00:00,08:10:00,2
2019-09-17 00:00:00,08:30:00,2
2018-05-06 00:00:00,08:00:00,2
2018-05-01 00:00:00,09:20:00,2
2020-09-25 00:00:00,06:30:00,2
2018-05-06 00:00:00,06:05:00,2
2019-04-18 00:00:00,07:30:00,2
2018-05-02 00:00:00,05:30:00,2
2018-05-02 00:00:00,05:45:00,2
2018-05-21 00:00:00,06:00:00,2
2018-05-28 00:00:00,07:00:00,2
2019-10-15 00:00:00,06:35:00,2
2018-05-21 00:00:00,07:00:00,2
2019-10-22 00:00:00,07:40:00,2
2018-05-22 00:00:00,05:30:00,2
2019-04-20 00:00:00,07:20:00,2
2018-04-05 00:00:00,08:05:00,2
2018-05-15 00:00:00,05:10:00,2
2017-09-07 00:00:00,08:30:00,2
2018-10-16 00:00:00,06:45:00,2
2021-05-25 00:00:00,05:25:00,2
2018-10-13 00:00:00,07:45:00,2
2019-05-28 00:00:00,05:30:00,2
2020-04-12 00:00:00,10:30:00,2
2018-09-28 00:00:00,06:30:00,2
2021-10-17 00:00:00,08:05:00,2
2019-05-28 00:00:00,06:00:00,2
2017-09-13 00:00:00,06:15:00,2
2018-10-13 00:00:00,08:15:00,2
2021-10-17 00:00:00,11:30:00,2
2018-10-03 00:00:00,06:15:00,2
2019-05-16 00:00:00,07:38:00,2
2020-05-15 00:00:00,09:30:00,2
2021-10-18 00:00:00,08:15:00,2
2019-05-16 00:00:00,07:31:00,2
2021-10-18 00:00:00,09:00:00,2
2021-09-13 00:00:00,06:30:00,2
2017-10-13 00:00:00,07:30:00,2
2017-10-16 00:00:00,06:40:00,2
2019-11-05 00:00:00,06:30:00,2
2021-09-09 00:00:00,06:30:00,2
2019-05-16 00:00:00,06:35:00,2
2020-04-04 00:00:00,10:10:00,2
2019-05-16 00:00:00,06:20:00,2
2020-08-29 00:00:00,08:35:00,2
